dealer_pct_change,average_player_pct_change,rounds_played,players,half_pay_on
-8.700000,8.700000,10000,1,2
153.900000,-51.300000,10000,3,8
89.100000,-29.700000,10000,3,6
2.500000,-2.500000,10000,1,0
40.300000,-40.300000,10000,1,8
44.500000,-44.500000,10000,1,9
12.950000,-12.950000,10000,1,4
23.900000,-23.900000,10000,1,6
72.950000,-36.475000,10000,2,5
6.050000,-6.050000,10000,1,3
54.900000,-54.900000,10000,1,7
20.200000,-20.200000,10000,1,-1
-0.400000,0.200000,10000,2,2
23.350000,-23.350000,10000,1,5
93.700000,-23.425000,10000,4,3
36.450000,-12.150000,10000,3,0
2.100000,-2.100000,10000,1,1
15.000000,-5.000000,10000,3,1
85.850000,-28.616667,10000,3,5
16.300000,-5.433333,10000,3,-1
107.250000,-26.812500,10000,4,5
-7.400000,3.700000,10000,2,-1
83.800000,-16.760000,10000,5,0
71.350000,-35.675000,10000,2,3
100.550000,-50.275000,10000,2,9
-10.900000,5.450000,10000,2,1
63.400000,-31.700000,10000,2,7
85.800000,-42.900000,10000,2,8
99.900000,-33.300000,10000,3,4
180.850000,-45.212500,10000,4,8
126.500000,-42.166667,10000,3,9
46.650000,-15.550000,10000,3,2
89.500000,-17.900000,10000,5,6
133.150000,-33.287500,10000,4,7
121.150000,-20.191667,10000,6,0
150.850000,-37.712500,10000,4,6
38.800000,-19.400000,10000,2,4
71.800000,-17.950000,10000,4,4
-0.150000,0.075000,10000,2,0
89.250000,-14.875000,10000,6,-1
80.750000,-26.916667,10000,3,7
206.250000,-29.464286,10000,7,5
178.500000,-35.700000,10000,5,5
11.300000,-2.825000,10000,4,1
319.900000,-45.700000,10000,7,7
172.750000,-34.550000,10000,5,4
70.150000,-14.030000,10000,5,2
213.050000,-42.610000,10000,5,8
54.550000,-13.637500,10000,4,0
133.550000,-22.258333,10000,6,5
77.150000,-38.575000,10000,2,6
40.750000,-10.187500,10000,4,2
39.900000,-5.700000,10000,7,2
169.050000,-28.175000,10000,6,7
172.550000,-43.137500,10000,4,9
16.250000,-2.708333,10000,6,1
174.350000,-24.907143,10000,7,4
57.450000,-8.207143,10000,7,1
20.650000,-20.650000,20000,1,2
68.750000,-22.916667,10000,3,3
45.750000,-6.535714,10000,7,0
132.250000,-22.041667,10000,6,4
-6.100000,1.525000,10000,4,-1
295.750000,-42.250000,10000,7,9
258.750000,-43.125000,10000,6,8
66.000000,-13.200000,10000,5,3
194.250000,-27.750000,10000,7,6
244.900000,-40.816667,10000,6,9
10.400000,-2.080000,10000,5,-1
166.250000,-33.250000,10000,5,7
64.250000,-10.708333,10000,6,2
120.650000,-20.108333,10000,6,3
163.700000,-23.385714,10000,7,3
241.100000,-34.442857,10000,7,8
-9.600000,1.371429,10000,7,-1
122.900000,-20.483333,10000,6,6
27.700000,-5.540000,10000,5,1
51.950000,-51.950000,20000,1,5
87.650000,-87.650000,20000,1,9
249.050000,-49.810000,10000,5,9
168.500000,-56.166667,20000,3,6
5.400000,-5.400000,20000,1,0
86.750000,-86.750000,20000,1,8
102.850000,-51.425000,20000,2,5
272.450000,-90.816667,20000,3,8
92.050000,-92.050000,20000,1,7
39.150000,-39.150000,20000,1,4
14.600000,-14.600000,20000,1,3
50.250000,-50.250000,20000,1,6
68.950000,-22.983333,20000,3,0
22.600000,-22.600000,20000,1,-1
116.400000,-58.200000,20000,2,3
2.950000,-1.475000,20000,2,-1
-4.100000,4.100000,20000,1,1
176.050000,-58.683333,20000,3,7
104.700000,-26.175000,20000,4,3
90.700000,-45.350000,20000,2,4
60.050000,-20.016667,20000,3,2
161.600000,-53.866667,20000,3,5
26.250000,-8.750000,20000,3,-1
222.150000,-111.075000,20000,2,9
26.150000,-13.075000,20000,2,2
144.600000,-48.200000,20000,3,4
266.850000,-88.950000,20000,3,9
147.700000,-73.850000,20000,2,8
25.800000,-8.600000,20000,3,1
66.450000,-13.290000,20000,5,0
78.350000,-78.350000,30000,1,5
358.950000,-71.790000,20000,5,5
29.200000,-29.200000,30000,1,2
192.750000,-48.187500,20000,4,5
134.350000,-33.587500,20000,4,4
271.000000,-67.750000,20000,4,7
122.150000,-40.716667,20000,3,3
143.500000,-71.750000,20000,2,7
368.800000,-61.466667,20000,6,7
13.350000,-6.675000,20000,2,0
13.450000,-6.725000,20000,2,1
156.250000,-78.125000,20000,2,6
19.200000,-4.800000,20000,4,1
