dealer_pct_change,average_player_pct_change,rounds_played,players,half_pay_on
0.005900,-0.059000,1000,1,4
0.017100,-0.085500,1000,2,9
0.016450,-0.027417,1000,6,-1
-0.006600,0.011000,1000,6,0
0.000550,-0.005500,1000,1,2
0.022200,-0.055500,1000,4,9
0.001750,-0.017500,1000,1,7
0.010100,-0.020200,1000,5,1
0.022850,-0.057125,1000,4,8
0.011500,-0.057500,1000,2,4
0.014750,-0.073750,1000,2,8
0.001250,-0.012500,1000,1,0
0.008500,-0.021250,1000,4,0
0.025250,-0.126250,2000,2,9
-0.001350,0.013500,1000,1,6
0.011500,-0.038333,1000,3,9
0.003950,-0.009875,1000,4,3
0.008700,-0.017400,1000,5,5
0.011650,-0.016643,1000,7,4
0.004050,-0.010125,1000,4,2
0.001450,-0.002900,1000,5,-1
0.006450,-0.064500,2000,1,4
-0.002050,0.002929,1000,7,-1
0.005600,-0.056000,1000,1,5
-0.006150,0.030750,1000,2,1
0.020250,-0.033750,1000,6,3
0.003750,-0.037500,1000,1,3
0.010050,-0.033500,1000,3,-1
0.015950,-0.026583,1000,6,6
0.029800,-0.059600,1000,5,8
0.013100,-0.026200,1000,5,3
0.018200,-0.026000,1000,7,8
0.003550,-0.005071,1000,7,5
0.026700,-0.044500,1000,6,5
0.030050,-0.042929,1000,7,9
0.030750,-0.153750,3000,2,9
0.004650,-0.015500,1000,3,3
0.007350,-0.024500,1000,3,2
0.010150,-0.014500,1000,7,1
0.022100,-0.073667,1000,3,4
0.021750,-0.031071,1000,7,6
0.010150,-0.050750,1000,2,5
0.001450,-0.014500,2000,1,2
-0.004550,0.022750,1000,2,3
0.024950,-0.062375,1000,4,6
0.002100,-0.007000,1000,3,5
-0.004200,0.021000,1000,2,0
0.001450,-0.003625,1000,4,1
0.003950,-0.039500,1000,1,-1
0.007400,-0.074000,2000,1,6
0.013100,-0.065500,1000,2,6
0.026000,-0.052000,1000,5,0
-0.021850,0.043700,2000,5,-1
0.021450,-0.035750,1000,6,8
0.004050,-0.013500,1000,3,7
0.019700,-0.049250,1000,4,4
0.007850,-0.078500,1000,1,9
0.001800,-0.009000,1000,2,2
0.018650,-0.046625,1000,4,-1
-0.006550,0.032750,1000,2,-1
0.017200,-0.028667,1000,6,7
0.014050,-0.023417,2000,6,0
-0.000050,0.000500,1000,1,8
0.003300,-0.033000,2000,1,-1
0.023200,-0.038667,1000,6,9
-0.000300,0.000750,1000,4,5
0.007200,-0.072000,2000,1,7
-0.004550,0.007583,1000,6,4
0.010750,-0.053750,2000,2,8
0.001600,-0.016000,2000,1,0
0.018550,-0.092750,2000,2,4
0.039250,-0.078500,1000,5,9
-0.003600,0.018000,2000,2,1
0.013700,-0.019571,1000,7,0
0.012700,-0.127000,3000,1,6
0.039650,-0.056643,2000,7,5
0.017250,-0.057500,1000,3,8
-0.000450,0.004500,1000,1,1
0.017400,-0.034800,1000,5,2
-0.023450,0.046900,3000,5,-1
0.034350,-0.057250,2000,6,3
0.025350,-0.050700,1000,5,4
0.014100,-0.035250,1000,4,7
0.014700,-0.021000,1000,7,3
0.017550,-0.087750,1000,2,7
0.001500,-0.005000,1000,3,1
0.006000,-0.012000,1000,5,6
0.009600,-0.096000,3000,1,4
0.014400,-0.020571,2000,7,4
0.041900,-0.104750,2000,4,8
0.012200,-0.017429,2000,7,1
-0.001800,0.006000,1000,3,0
0.039300,-0.078600,1000,5,7
0.008300,-0.083000,2000,1,5
0.032750,-0.046786,1000,7,7
0.027700,-0.069250,2000,4,4
0.015800,-0.052667,2000,3,2
-0.002250,0.011250,2000,2,0
-0.003900,0.019500,2000,2,3
0.012900,-0.021500,1000,6,1
0.037150,-0.053071,2000,7,6
0.039150,-0.097875,2000,4,6
0.009150,-0.091500,3000,1,7
0.000800,-0.002000,2000,4,2
0.050450,-0.100900,2000,5,5
-0.001400,0.003500,2000,4,5
-0.001550,0.003875,2000,4,0
0.008750,-0.017500,2000,5,1
0.014900,-0.049667,2000,3,3
0.028500,-0.142500,4000,2,9
0.009850,-0.032833,1000,3,6
0.023450,-0.039083,2000,6,-1
0.018950,-0.094750,3000,2,8
0.024300,-0.081000,2000,3,9
0.038100,-0.076200,2000,5,0
0.022550,-0.112750,3000,2,4
0.014950,-0.149500,2000,1,9
0.012050,-0.020083,1000,6,2
0.024850,-0.082833,3000,3,2
-0.017900,0.025571,2000,7,-1
0.002000,-0.020000,3000,1,-1
0.017350,-0.057833,2000,3,7
0.007950,-0.079500,2000,1,8
-0.005300,0.026500,3000,2,0
0.067100,-0.095857,2000,7,9
0.009050,-0.012929,1000,7,2
0.021600,-0.072000,2000,3,5
0.004100,-0.041000,3000,1,2
0.003650,-0.018250,2000,2,2
0.015850,-0.052833,2000,3,-1
-0.001100,0.011000,2000,1,1
0.068350,-0.113917,2000,6,9
0.069950,-0.099929,2000,7,8
0.021850,-0.109250,2000,2,6
0.004600,-0.046000,3000,1,0
-0.001650,0.004125,2000,4,1
-0.004300,0.021500,3000,2,1
0.052000,-0.130000,2000,4,9
0.059250,-0.118500,2000,5,7
0.027550,-0.137750,2000,2,7
0.030950,-0.103167,2000,3,4
0.056750,-0.113500,2000,5,9
0.037300,-0.074600,3000,5,1
0.031050,-0.051750,3000,6,0
0.048800,-0.097600,2000,5,8
0.005850,-0.014625,3000,4,5
0.037300,-0.062167,2000,6,8
0.014300,-0.035750,2000,4,3
-0.001700,0.017000,2000,1,3
0.005600,-0.018667,2000,3,1
0.015750,-0.039375,3000,4,2
0.016500,-0.033000,2000,5,3
0.027050,-0.090167,2000,3,8
0.024450,-0.081500,3000,3,3
0.034650,-0.049500,2000,7,0
0.063300,-0.090429,3000,7,5
0.025400,-0.084667,3000,3,9
0.013900,-0.139000,4000,1,4
0.030400,-0.101333,3000,3,7
0.013000,-0.130000,3000,1,8
0.020850,-0.208500,3000,1,9
0.047800,-0.095600,2000,5,4
0.000050,-0.000167,2000,3,0
0.014350,-0.143500,4000,1,6
-0.029000,0.058000,4000,5,-1
0.031900,-0.159500,5000,2,9
0.047750,-0.119375,3000,4,6
0.010900,-0.021800,2000,5,6
0.010300,-0.025750,4000,4,2
0.002300,-0.003833,2000,6,4
0.017400,-0.174000,4000,1,7
0.010450,-0.017417,2000,6,1
0.047750,-0.079583,2000,6,6
0.042900,-0.071500,3000,6,3
0.013500,-0.033750,2000,4,-1
0.026300,-0.087667,3000,3,-1
0.023400,-0.117000,4000,2,8
0.017300,-0.028833,2000,6,7
0.048750,-0.162500,3000,3,8
0.066700,-0.133400,3000,5,0
0.012000,-0.060000,4000,2,4
0.020550,-0.029357,2000,7,3
0.059700,-0.085286,3000,7,6
0.050050,-0.166833,3000,3,4
0.015950,-0.079750,2000,2,5
0.008700,-0.087000,4000,1,0
0.072400,-0.144800,3000,5,7
0.012350,-0.061750,3000,2,6
0.021450,-0.053625,2000,4,7
0.017750,-0.177500,5000,1,7
0.069750,-0.099643,2000,7,7
0.046000,-0.092000,3000,5,3
-0.002800,0.007000,3000,4,0
0.057800,-0.115600,3000,5,4
0.010800,-0.015429,3000,7,-1
-0.000650,0.006500,4000,1,-1
0.029600,-0.074000,3000,4,3
0.082000,-0.164000,3000,5,5
0.008050,-0.026833,3000,3,1
-0.007400,0.037000,2000,2,-1
0.008200,-0.082000,3000,1,5
0.019650,-0.032750,3000,6,-1
0.003000,-0.030000,4000,1,2
0.020250,-0.202500,4000,1,8
0.110000,-0.157143,3000,7,8
0.050750,-0.169167,4000,3,8
0.001750,-0.008750,3000,2,2
0.021300,-0.053250,3000,4,1
0.103950,-0.148500,3000,7,9
0.038000,-0.190000,5000,2,8
0.002550,-0.006375,5000,4,2
0.020350,-0.040700,2000,5,2
0.075150,-0.125250,3000,6,9
-0.001000,0.005000,4000,2,1
0.040150,-0.133833,4000,3,3
0.044000,-0.110000,3000,4,4
0.039500,-0.056429,3000,7,4
0.065650,-0.109417,3000,6,8
0.020950,-0.209500,5000,1,4
0.066300,-0.165750,4000,4,6
0.029750,-0.148750,3000,2,7
0.001200,-0.001714,2000,7,2
0.018400,-0.061333,3000,3,5
0.003600,-0.036000,5000,1,-1
0.005400,-0.054000,3000,1,1
-0.003450,0.017250,3000,2,3
0.014800,-0.024667,2000,6,2
0.043950,-0.146500,4000,3,9
0.046600,-0.077667,4000,6,0
0.024150,-0.241500,4000,1,9
0.010800,-0.036000,3000,3,0
0.040450,-0.080900,3000,5,6
0.024550,-0.035071,3000,7,1
0.066650,-0.133300,3000,5,8
0.035700,-0.178500,6000,2,9
0.043750,-0.145833,4000,3,4
0.005750,-0.014375,4000,4,5
0.015800,-0.026333,2000,6,5
0.002350,-0.023500,4000,1,1
0.040550,-0.135167,4000,3,7
0.069100,-0.098714,3000,7,0
