dealer_pct_change,average_player_pct_change,rounds_played,players,half_pay_on
-3.900000,3.900000,10000,1,0
38.400000,-38.400000,10000,1,8
18.800000,-18.800000,10000,1,3
21.800000,-21.800000,10000,1,6
30.950000,-30.950000,10000,1,5
63.950000,-31.975000,10000,2,8
8.550000,-8.550000,10000,1,-1
131.650000,-43.883333,10000,3,9
8.950000,-8.950000,10000,1,1
-43.800000,21.900000,10000,2,-1
11.500000,-11.500000,10000,1,10
25.700000,-12.850000,10000,2,3
99.250000,-33.083333,10000,3,5
291.550000,-41.650000,10000,7,7
235.850000,-39.308333,10000,6,9
47.300000,-15.766667,10000,3,3
50.500000,-25.250000,10000,2,7
-10.200000,2.040000,10000,5,10
12.000000,-4.000000,10000,3,-1
16.200000,-16.200000,10000,1,4
7.400000,-3.700000,10000,2,10
234.250000,-33.464286,10000,7,8
115.450000,-38.483333,10000,3,7
96.400000,-48.200000,10000,2,9
36.850000,-36.850000,10000,1,9
44.900000,-44.900000,10000,1,7
13.800000,-6.900000,10000,2,0
107.850000,-35.950000,10000,3,8
92.800000,-18.560000,10000,5,6
12.350000,-12.350000,10000,1,2
11.300000,-1.614286,10000,7,10
16.850000,-8.425000,10000,2,1
-44.250000,8.850000,10000,5,0
15.850000,-5.283333,10000,3,0
127.550000,-31.887500,10000,4,6
70.150000,-35.075000,10000,2,5
254.550000,-50.910000,10000,5,8
23.250000,-5.812500,10000,4,1
28.100000,-5.620000,10000,5,1
0.500000,-0.125000,10000,4,2
239.100000,-47.820000,10000,5,7
88.800000,-14.800000,10000,6,2
2.000000,-0.666667,10000,3,1
45.200000,-15.066667,10000,3,4
0.500000,-0.125000,10000,4,10
24.550000,-6.137500,10000,4,0
273.450000,-39.064286,10000,7,9
55.150000,-27.575000,10000,2,4
90.250000,-22.562500,10000,4,3
23.650000,-11.825000,10000,2,2
45.400000,-22.700000,10000,2,6
75.950000,-12.658333,10000,6,3
47.300000,-7.883333,10000,6,10
-55.500000,18.500000,10000,3,10
284.200000,-56.840000,10000,5,9
187.850000,-46.962500,10000,4,9
47.000000,-15.666667,10000,3,2
51.050000,-12.762500,10000,4,4
85.050000,-28.350000,10000,3,6
41.550000,-6.925000,10000,6,0
129.800000,-32.450000,10000,4,8
280.350000,-46.725000,10000,6,8
27.250000,-5.450000,10000,5,2
192.350000,-48.087500,10000,4,7
89.800000,-14.966667,10000,6,4
49.950000,-8.325000,10000,6,1
132.300000,-18.900000,10000,7,6
10.700000,-10.700000,20000,1,0
73.400000,-10.485714,10000,7,3
220.500000,-31.500000,10000,7,5
88.300000,-17.660000,10000,5,4
95.150000,-13.592857,10000,7,2
44.300000,-8.860000,10000,5,3
83.150000,-20.787500,10000,4,5
85.600000,-85.600000,20000,1,8
152.650000,-21.807143,10000,7,4
46.950000,-11.737500,10000,4,-1
19.400000,-3.880000,10000,5,-1
23.150000,-23.150000,20000,1,3
105.550000,-21.110000,10000,5,5
210.100000,-35.016667,10000,6,7
225.150000,-37.525000,10000,6,6
38.100000,-5.442857,10000,7,1
-12.200000,1.742857,10000,7,-1
205.150000,-34.191667,10000,6,5
68.200000,-11.366667,10000,6,-1
24.050000,-3.435714,10000,7,0
61.450000,-61.450000,20000,1,6
12.300000,-12.300000,20000,1,-1
59.750000,-59.750000,20000,1,5
2.300000,-2.300000,20000,1,10
29.150000,-29.150000,20000,1,2
12.550000,-12.550000,20000,1,1
44.550000,-44.550000,20000,1,4
79.300000,-79.300000,20000,1,7
-9.500000,4.750000,20000,2,10
-17.700000,8.850000,20000,2,-1
139.150000,-69.575000,20000,2,8
28.750000,-14.375000,20000,2,0
81.050000,-81.050000,20000,1,9
156.350000,-52.116667,20000,3,5
37.200000,-18.600000,20000,2,1
24.500000,-12.250000,20000,2,2
68.400000,-22.800000,20000,3,3
15.850000,-5.283333,20000,3,-1
93.950000,-46.975000,20000,2,7
